,page_number,character,counts_per_page
296,155,Incandenza,3
297,155,Mario,1
298,156,Himself,1
299,156,Mario,1
300,159,Incandenza,1
301,160,Hal,4
302,160,Himself,2
303,160,Incandenza,3
304,160,Luria P.,1
305,160,Mario,5
306,160,Orin,1
307,161,Hal,5
308,161,Incandenza,1
309,162,Hal,1
310,163,Hal,1
311,166,Hal,1
312,168,Incandenza,1
313,168,Mario,2
314,169,Hal,4
315,169,Himself,4
316,169,Incandenza,12
317,169,Mario,11
318,171,Avril,2
319,171,Hal,1
320,171,Incandenza,2
321,171,Mario,2
322,171,Orin,1
323,172,Luria P.,1
324,175,Hal,3
325,175,Incandenza,1
326,175,Mario,2
327,176,Hal,6
328,176,Incandenza,1
329,176,Madame,3
330,176,Madame Psychosis,3
331,176,Mario,4
332,177,Hal,15
333,177,Incandenza,2
334,177,Mario,2
335,178,Hal,12
336,178,Incandenza,1
337,179,Hal,3
338,179,Incandenza,1
339,180,Hal,3
340,180,Incandenza,1
341,180,Mario,1
342,199,Avril,2
343,199,Hal,6
344,199,Incandenza,2
345,200,Avril,8
346,200,Hal,11
347,200,Himself,1
348,200,Incandenza,2
349,200,Mario,1
350,200,Orin,1
351,201,Avril,5
352,201,Hal,5
353,202,Avril,2
354,202,Hal,15
355,202,Himself,1
356,202,Mario,2
357,202,Orin,2
358,203,Avril,1
359,203,Booboo,1
360,203,Hal,12
361,204,Avril,8
362,204,Hal,13
363,204,Himself,2
364,204,Incandenza,1
365,204,Orin,1
366,205,Avril,5
367,205,Hal,12
368,205,Mario,1
369,205,Orin,2
370,206,Avril,3
371,206,Hal,10
372,207,Hal,2
373,212,Madame,1
374,213,Hal,1
375,214,Hal,2
376,216,Hal,1
377,217,Avril,1
378,217,Incandenza,2
379,219,Hal,6
380,220,Hal,1
381,221,Hal,2
382,222,Hal,1
383,222,Hallie,1
384,222,Incandenza,1
385,222,Orin,4
386,223,Mario,1
387,224,Mario,4
388,226,Hal,1
389,226,Orin,2
390,231,Avril,2
391,231,Hal,5
392,231,Incandenza,1
393,231,Madame,2
394,231,Madame Psychosis,2
395,231,Mario,4
396,231,Orin,2
397,232,Avril,2
398,232,Booboo,1
399,232,Hal,10
400,232,Madame,5
401,232,Madame Psychosis,2
402,232,Mario,22
403,233,Mario,3
404,234,Orin,10
405,235,Mario,1
406,235,Orin,11
407,236,Orin,10
408,243,Madame,2
409,243,Madame Psychosis,1
410,244,Hal,2
411,244,Himself,1
412,244,Incandenza,1
413,244,Mario,1
414,245,Madame,3
415,245,Madame Psychosis,1
416,246,Hal,1
417,246,Incandenza,1
418,246,Madame,5
419,246,Madame Psychosis,1
420,247,Hal,6
421,247,Incandenza,1
422,248,Hal,3
423,248,Mario,1
424,249,Hal,14
425,249,Himself,1
426,249,Orin,3
427,250,Hal,14
428,250,Incandenza,1
429,250,Mario,1
430,251,Hal,2
431,256,Hal,3
432,256,Orin,1
433,257,Hal,27
434,257,Incandenza,1
435,257,Mario,1
436,257,Orin,1
437,258,Avril,1
438,258,Hal,12
439,258,Incandenza,3
440,258,Orin,3
441,259,Hal,16
442,259,Incandenza,3
443,260,Hal,6
444,260,Orin,1
445,261,Hal,3
446,261,Incandenza,2
447,261,Orin,3
448,262,Hal,2
449,262,Incandenza,3
450,263,Incandenza,1
451,264,Hal,1
452,264,Incandenza,1
453,265,Hal,4
454,266,Hal,16
455,266,Incandenza,7
456,267,Hal,8
457,268,Hal,10
458,269,Hal,1
459,270,Hal,15
460,270,Himself,1
461,270,Orin,1
462,271,Hal,4
463,271,Himself,1
464,271,Incandenza,1
465,271,Mario,2
466,272,Hal,3
467,272,Incandenza,4
468,272,Orin,1
469,273,Avril,2
470,273,Hal,4
471,273,Himself,1
472,273,Incandenza,2
473,275,Avril,1
474,275,Hal,7
475,275,Incandenza,1
476,275,Mario,3
477,276,Hal,14
478,276,Himself,5
479,277,Hal,4
480,277,Himself,4
481,277,Incandenza,1
482,280,Hal,5
483,285,Luria P.,1
484,289,Himself,3
485,289,Incandenza,2
486,289,Orin,19
487,289,Pokie,2
488,290,Avril,1
489,290,Himself,4
490,290,Incandenza,1
491,290,Orin,23
492,290,Pokie,1
493,291,Himself,3
494,291,Incandenza,2
495,291,Orin,6
496,292,Avril,16
497,292,Hal,10
498,292,Himself,4
499,292,Incandenza,11
500,292,Mario,7
501,292,Orin,18
502,292,P.G.O.A.T.,1
503,293,Avril,7
504,293,Hal,11
505,293,Incandenza,4
506,293,Mario,6
507,293,Orin,12
508,296,Mario,4
509,297,Mario,15
510,298,Avril,1
511,298,Hal,9
512,298,Incandenza,1
513,298,Mario,23
514,299,Avril,4
515,299,Hal,2
516,299,Mario,13
517,299,Orin,1
518,300,Avril,1
519,300,Hal,5
520,300,Himself,2
521,300,Mario,7
522,301,Avril,4
523,301,Hal,4
524,301,Himself,1
525,301,Incandenza,4
526,301,Mario,11
527,301,Orin,2
528,302,Avril,1
529,302,Booboo,1
530,302,Hal,2
531,302,Mario,6
532,302,Orin,1
533,303,Booboo,3
534,303,Hal,6
535,303,Himself,1
536,303,Mario,1
537,303,Orin,8
538,304,Booboo,1
539,304,Hal,5
540,304,Orin,1
541,308,Hal,4
542,308,Mario,1
543,309,Booboo,1
544,309,Hal,6
545,309,Himself,4
546,309,Mario,2
547,309,Orin,2
548,310,Booboo,2
549,310,Hal,5
550,310,Himself,1
551,311,Incandenza,1
552,311,J.O.I.,1
553,311,Madame,16
554,311,Madame Psychosis,13
555,312,J.O.I.,1
556,312,Madame,20
557,312,Madame Psychosis,17
558,313,Madame,14
559,313,Madame Psychosis,13
560,313,Orin,1
561,314,Hal,14
562,314,Madame,1
563,315,Hal,16
564,316,Hal,9
565,317,Hal,17
566,317,Orin,1
567,318,Hal,17
568,319,Hal,6
569,320,Hal,1
570,325,Madame,1
571,333,Luria P.,1
572,334,Hal,1
573,335,Mario,5
574,336,Hal,2
